,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
3,0.6073737144470215,0.6746987700462341,0.49896907806396484,1500,1500_p_future,0.5915254237288136,CND_video_only
4,0.5982747673988342,0.7081807255744934,0.4213075041770935,1500,1500_p_future,0.5874888492417485,CND_video_only
0,0.8394433259963989,0.889305591583252,0.7117350697517395,250,250,0.821536276877133,CND_multimodal_early_fusion
1,0.829727053642273,0.8829071521759033,0.6935212016105652,250,250,0.8049127806522565,CND_multimodal_early_fusion
2,0.8275268077850342,0.8807231783866882,0.6912792325019836,250,250,0.806366578479375,CND_multimodal_early_fusion
0,0.8811823129653931,0.9258354902267456,0.7114589214324951,0,0_p_future,0.8507207794864577,CND_multimodal_early_fusion
1,0.8732183575630188,0.9214860796928406,0.6897566318511963,0,0_p_future,0.8363262237095876,CND_multimodal_early_fusion
2,0.8716236352920532,0.9179700016975403,0.6954648494720459,0,0_p_future,0.836760521906668,CND_multimodal_early_fusion
0,0.8065099716186523,0.8565212488174438,0.6990645527839661,500,500_p_future,0.7941954572691065,CND_multimodal_early_fusion
1,0.7986104488372803,0.8544520735740662,0.6786389350891113,500,500_p_future,0.7838479833761107,CND_multimodal_early_fusion
2,0.797420084476471,0.8484848737716675,0.6877113580703735,500,500_p_future,0.7851687542657195,CND_multimodal_early_fusion
0,0.7854986190795898,0.8349931836128235,0.6892240047454834,750,750_p_future,0.7762023576020493,CND_multimodal_early_fusion
1,0.767810583114624,0.8224771618843079,0.6614757180213928,750,750_p_future,0.7646042799696688,CND_multimodal_early_fusion
2,0.7738832235336304,0.8230875730514526,0.678173303604126,750,750_p_future,0.7636499737808836,CND_multimodal_early_fusion
0,0.7644733190536499,0.8133724927902222,0.6756066679954529,1000,1000_p_future,0.7532830132745759,CND_multimodal_early_fusion
1,0.7476305365562439,0.8044813871383667,0.6443129777908325,1000,1000_p_future,0.7488125473294548,CND_multimodal_early_fusion
2,0.7534428238868713,0.8028116822242737,0.6637223958969116,1000,1000_p_future,0.7458675506882427,CND_multimodal_early_fusion
0,0.7563992738723755,0.8021461963653564,0.6768893599510193,1250,1250_p_future,0.7564150025227119,CND_multimodal_early_fusion
1,0.7463173866271973,0.800000011920929,0.6530147790908813,1250,1250_p_future,0.7471944159996656,CND_multimodal_early_fusion
2,0.7392857074737549,0.7794729471206665,0.6694386601448059,1250,1250_p_future,0.7433879572601856,CND_multimodal_early_fusion
0,0.7507535219192505,0.7952127456665039,0.6791666746139526,1500,1500_p_future,0.7532560214094559,CND_multimodal_early_fusion
1,0.7438026666641235,0.7647058963775635,0.7101449370384216,1500,1500_p_future,0.7573595004460303,CND_multimodal_early_fusion
2,0.7554365396499634,0.7923497557640076,0.6959999799728394,1500,1500_p_future,0.7601471900089206,CND_multimodal_early_fusion
0,0.8444139361381531,0.8900772333145142,0.7274602055549622,250,250,0.8259005997559616,CND_multimodal_late_fusion
1,0.8352264165878296,0.8862169981002808,0.7046285271644592,250,250,0.8143737580242411,CND_multimodal_late_fusion
